epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,7070.2,0.35744,1.06425,1.07767,0.63801,0.7344,0.73038,0.69741,0.5057,0.79465,0.77863,0.0005941,0.0005941,0.0005941
43,7239.92,0.35884,1.05795,1.07636,0.62811,0.71578,0.73884,0.70811,0.50913,0.78502,0.78469,0.0005842,0.0005842,0.0005842
44,7410.44,0.35697,1.04268,1.07559,0.59163,0.74787,0.74258,0.71384,0.50721,0.78978,0.78397,0.0005743,0.0005743,0.0005743
45,7578.29,0.35638,1.03764,1.07594,0.59473,0.7644,0.73933,0.70582,0.51651,0.77748,0.79445,0.0005644,0.0005644,0.0005644
46,7747.49,0.35494,1.04846,1.07625,0.69097,0.67056,0.73388,0.70214,0.49296,0.78031,0.76609,0.0005545,0.0005545,0.0005545
47,7916,0.35399,1.02431,1.07267,0.65643,0.72135,0.74008,0.71155,0.4911,0.77139,0.76593,0.0005446,0.0005446,0.0005446
48,8088.08,0.34941,1.02888,1.06994,0.67137,0.71958,0.74136,0.71812,0.48573,0.77626,0.75378,0.0005347,0.0005347,0.0005347
49,8256.92,0.35566,1.02768,1.0714,0.678,0.70839,0.74436,0.71042,0.50899,0.77324,0.78541,0.0005248,0.0005248,0.0005248
50,8424.73,0.34832,1.01471,1.06919,0.66624,0.72186,0.7404,0.70127,0.52734,0.77056,0.81561,0.0005149,0.0005149,0.0005149
51,8596.35,0.34965,1.02679,1.07196,0.67012,0.71231,0.74473,0.71029,0.51128,0.76361,0.79503,0.000505,0.000505,0.000505
52,8768.99,0.34864,1.00841,1.07144,0.67669,0.72876,0.74909,0.71656,0.51473,0.76506,0.79959,0.0004951,0.0004951,0.0004951
53,8939.21,0.34749,0.99735,1.06749,0.6205,0.74774,0.7502,0.72481,0.49325,0.74988,0.76801,0.0004852,0.0004852,0.0004852
54,9108.25,0.34922,1.00416,1.0697,0.65546,0.74946,0.75005,0.72549,0.48942,0.75612,0.76257,0.0004753,0.0004753,0.0004753
55,9276.66,0.34084,0.99381,1.0656,0.63318,0.75074,0.75566,0.73132,0.48984,0.74931,0.76151,0.0004654,0.0004654,0.0004654
56,9445.57,0.34216,0.98629,1.06585,0.62149,0.73821,0.74874,0.72277,0.48983,0.7562,0.76399,0.0004555,0.0004555,0.0004555
57,9614.16,0.34215,0.98141,1.06298,0.64066,0.75346,0.75269,0.72621,0.48818,0.75963,0.76049,0.0004456,0.0004456,0.0004456
58,9783.83,0.33374,0.96272,1.06166,0.63125,0.7743,0.76063,0.73287,0.48516,0.75394,0.76068,0.0004357,0.0004357,0.0004357
59,9955.89,0.34342,0.98041,1.06332,0.64941,0.76673,0.76564,0.73704,0.49903,0.75172,0.77445,0.0004258,0.0004258,0.0004258
60,10126.6,0.34028,0.97278,1.06248,0.65587,0.76377,0.76357,0.72791,0.50701,0.75055,0.78334,0.0004159,0.0004159,0.0004159
61,10296.2,0.3362,0.96055,1.06148,0.64496,0.75705,0.76296,0.72741,0.50381,0.75122,0.78125,0.000406,0.000406,0.000406
62,10466,0.33019,0.95079,1.05691,0.63361,0.75883,0.76131,0.72595,0.49888,0.74659,0.7778,0.0003961,0.0003961,0.0003961
63,10635.7,0.33153,0.94241,1.05779,0.64445,0.76341,0.76303,0.73392,0.48522,0.73694,0.76229,0.0003862,0.0003862,0.0003862
64,10804.9,0.32846,0.94142,1.05706,0.6422,0.75823,0.76523,0.73661,0.48366,0.73853,0.76332,0.0003763,0.0003763,0.0003763
65,10971.3,0.33561,0.95138,1.06133,0.6592,0.7621,0.76631,0.73802,0.48393,0.73703,0.76143,0.0003664,0.0003664,0.0003664
66,11140.4,0.326,0.93635,1.05331,0.68621,0.74794,0.768,0.73845,0.4857,0.73589,0.76101,0.0003565,0.0003565,0.0003565
